source,target,weight
Career Growth,Learning & Development,210
Career Growth,Manager Effectiveness,180
Pay & Benefits,Recognition,130
Pay & Benefits,Work-Life Balance,160
Work-Life Balance,Manager Effectiveness,190
Leadership & Direction,Company Strategy,220
Leadership & Direction,Teamwork & Collaboration,95
Teamwork & Collaboration,Belonging & Inclusion,140
Productivity & Efficiency,Teamwork & Collaboration,110
Productivity & Efficiency,Customer Focus,90
Recognition,Belonging & Inclusion,75
Manager Effectiveness,Recognition,85
